date,TC
2020/10/18,1185
2020/10/19,1175
2020/10/20,1160
2020/10/21,1191
2020/10/22,1218
2020/10/23,1185
2020/10/24,1205
2020/10/25,1272
2020/10/26,1220
2020/10/27,1210
2020/10/28,1278
2020/10/29,1279
2020/10/30,1214
2020/10/31,1259
2020/11/1,1276
2020/11/2,1250
2020/11/3,1227
2020/11/4,1276
2020/11/5,1296
2020/11/6,1236
2020/11/7,1253
2020/11/8,1398
2020/11/9,1301
2020/11/10,1279
2020/11/11,1290
2020/11/12,1568
2020/11/13,1063
2020/11/14,1361
2020/11/15,1360
2020/11/16,2003
2020/11/17,743
2020/11/18,1173
2020/11/19,1335
2020/11/20,1320
2020/11/21,1382
2020/11/22,1688
2020/11/23,1879
2020/11/24,2320
2020/11/25,2836
2020/11/26,3066
2020/11/27,3662
2020/11/28,4291
2020/11/29,4633
2020/11/30,4464
2020/12/1,4490
2020/12/2,5054
2020/12/3,5464
2020/12/4,4837
2020/12/5,12216
2020/12/6,1837
2020/12/7,1509
2020/12/8,5552
2020/12/9,5450
2020/12/10,5418
2020/12/11,5246
2020/12/12,5456
2020/12/13,5541
2020/12/14,6046
2020/12/15,6114
2020/12/16,6124
2020/12/17,6227
2020/12/18,6503
2020/12/19,6645
2020/12/20,6637
2020/12/21,6387
2020/12/22,5931
2020/12/23,6152
2020/12/24,6277
2020/12/25,5746
2020/12/26,5606
2020/12/27,5795
2020/12/28,5458
2020/12/29,5693
2020/12/30,6262
